"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,6352.67830798295,923.64756561352,2255.37258184454,3173.65816052489,-0.140909090909091,0.590909090909091,11462.2180668615
"2","Inferno Log-Normal",2,8345.24597520561,1977.65092087601,2506.01785187649,3861.57720245311,-0.147727272727273,0.590909090909091,14593.4326409756
"3","Inferno Log-Normal",3,10218.0084647813,2660.77021821578,3247.50406697132,4309.73417959418,0.0613636363636364,0.681818181818182,16976.0093751215
"4","Inferno Log-Normal",4,9878.06922181013,2650.50934686003,2757.53523975772,4470.02463519238,0.0681818181818182,0.681818181818182,16373.7478177304
"5","Inferno Negative Binomial",1,6320.20749188312,899.755194805195,2256.16233766234,3164.28995941558,-0.154545454545455,0.545454545454545,11379.5681818182
"6","Inferno Negative Binomial",2,8286.3138474026,1947.46168831169,2477.40714285714,3861.44501623377,-0.161363636363636,0.545454545454545,14529.5454545455
"7","Inferno Negative Binomial",3,10231.4269642857,2659.49772727273,3257.78701298701,4314.14222402597,0.0613636363636364,0.681818181818182,16957
"8","Inferno Negative Binomial",4,9773.54691558441,2575.8987012987,2748.07305194805,4449.57516233766,0.0545454545454545,0.727272727272727,16258.1136363636
"9","MoA Negative Binomial",1,13595.8107692756,2372.1007709637,3568.86584246774,7654.84415584416,-0.209090909090909,0.636363636363636,26090.4026576565
"10","MoA Negative Binomial",2,19948.405683815,5845.4473741015,5616.20701101216,8486.7512987013,-0.206818181818182,0.454545454545455,36914.9443321592
"11","MoA Negative Binomial",3,25383.1542887682,7303.25917953999,8895.96426507241,9183.93084415584,-0.0909090909090909,0.363636363636364,45100.2913850141
"12","MoA Negative Binomial",4,24542.20818203,7702.1630723653,6898.92368109331,9941.12142857143,-0.025,0.454545454545455,43651.0618196648
"13","MoA Log-Normal",1,13885.8395388394,2467.7052949521,3256.53743510532,8161.59680878192,-0.172727272727273,0.636363636363636,26090.4026576565
"14","MoA Log-Normal",2,20084.8496502527,6133.49531497525,4840.58631547691,9110.76801980053,-0.184090909090909,0.5,36914.9443321592
"15","MoA Log-Normal",3,25248.1157223158,7734.18528342064,7645.88412309538,9868.04631579973,-0.0704545454545455,0.409090909090909,45100.2913850141
"16","MoA Log-Normal",4,24748.56876682,8180.47227096005,5865.30756896632,10702.7889268936,0.00909090909090909,0.454545454545455,43651.0618196648
"17","hhh4",1,19893.3636363636,250.850649350649,9368.74675324675,10273.7662337662,-0.475,0.727272727272727,31080.5454545455
"18","hhh4",2,28913.1883116883,3234.33116883117,14425.9025974026,11252.9545454545,-0.272727272727273,0.727272727272727,41129.1818181818
"19","hhh4",3,34915.8571428571,4997.77922077922,17763.5,12154.5779220779,-0.0818181818181818,0.727272727272727,48092.6818181818
"20","hhh4",4,35264.2597402597,5310.82467532468,16971.4220779221,12982.012987013,0.0659090909090909,0.681818181818182,50515.0909090909
"21","TSMixer",1,18065.2477037338,501.463961038961,3347.41655844156,14216.3671842532,-0.359090909090909,0.863636363636364,23873.4363636364
"22","TSMixer",2,21370.5727540584,2418.73194805195,4980.64967532468,13971.1911306818,-0.254545454545455,0.727272727272727,34015.4840909091
"23","TSMixer",3,23295.5950698052,2267.49896103896,7372.39295454545,13655.7031542208,-0.159090909090909,0.772727272727273,36213.4295454545
"24","TSMixer",4,23875.4899123377,2725.16506493506,7909.03126623377,13241.2935811688,-0.0295454545454546,0.818181818181818,36118.8386363636
"25","LightGBM",1,11254.2610526232,142.043249755494,6545.62386534862,4566.59393751909,-0.506818181818182,0.545454545454545,17277.098316698
"26","LightGBM",2,15408.6500448638,1182.99495919316,8999.17806380306,5226.4770218676,-0.475,0.181818181818182,24727.9474419645
"27","LightGBM",3,17359.0876569361,1740.00585223468,9895.21759881961,5723.86420588178,-0.297727272727273,0.318181818181818,26268.1272182143
"28","LightGBM",4,17809.8194976112,2594.42733953451,9400.81869958444,5814.57345849224,-0.172727272727273,0.363636363636364,25665.7341560356
"29","MeanEnsemble",1,14485.4671591591,144.345800288597,4655.54557369093,9685.57578517953,-0.425,0.818181818181818,21924.1979016564
"30","MeanEnsemble",2,19795.1397958052,2033.16496325264,7611.76726655125,10150.2075660013,-0.277272727272727,0.681818181818182,31401.4221544114
"31","MeanEnsemble",3,23243.6895868237,2588.36692981983,10143.940896277,10511.3817607268,-0.0840909090909091,0.727272727272727,33439.9319712834
"32","MeanEnsemble",4,23672.6724855471,3063.50000659544,9929.87913672694,10679.2933422247,0.00909090909090909,0.727272727272727,34379.1888530311
