"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,12684.2960863669,1200.79283307951,4449.41821422306,7034.08503906434,-0.175909090909091,0.7,21266.2743611203
"2","Inferno Log-Normal",2,14513.7546982303,1842.33270162356,4089.44071294739,8581.98128365936,-0.215,0.672727272727273,23133.0120698026
"3","Inferno Log-Normal",3,17732.9935810532,2929.29382805417,5174.88365673475,9628.81609626427,-0.102727272727273,0.654545454545455,30245.4129249677
"4","Inferno Log-Normal",4,17982.6769184951,2915.76899023187,4963.53581201572,10103.3721162476,-0.0922727272727273,0.6,29187.3409656917
"5","Inferno Check",1,20448.0970831091,5509.59376013101,8067.76110827236,6870.74221470572,-0.159545454545455,0.627272727272727,32136.055324742
"6","Inferno Check",2,20724.1361698842,5186.25571473141,7101.92776297593,8435.95269217684,-0.146818181818182,0.590909090909091,33464.2997202471
"7","Inferno Check",3,21696.5474252845,6051.6950197962,6133.82893254569,9511.02347294259,-0.0763636363636364,0.563636363636364,37206.1419296923
"8","Inferno Check",4,17523.3665362984,3960.42550151779,3552.70625575296,10010.2347790276,-0.0186363636363636,0.563636363636364,30312.3872516157
