"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,10023.0133601519,1300.39463662086,4142.40409398236,4580.21462954867,-0.231818181818182,0.636363636363636,17839.9470961466
"2","Inferno Log-Normal",2,14191.6505033498,2233.99892332607,6352.57685676343,5605.07472326034,-0.263636363636364,0.454545454545455,25688.5902119849
"3","Inferno Log-Normal",3,17232.849842472,2660.31590448437,8455.35724025451,6117.17669773311,-0.195454545454545,0.363636363636364,31981.7880762705
"4","Inferno Log-Normal",4,18096.6856187244,2986.05987520657,8867.14309270355,6243.48265081425,-0.111363636363636,0.409090909090909,31959.4320422275
"5","Inferno Negative Binomial",1,9985.06179383117,1283.11331168831,4133.91396103896,4568.0345211039,-0.231818181818182,0.636363636363636,17575.8409090909
"6","Inferno Negative Binomial",2,14185.6240422078,2114.89772727273,6445.35681818182,5625.36949675325,-0.309090909090909,0.454545454545455,25456.5909090909
"7","Inferno Negative Binomial",3,17149.718538961,2587.28701298701,8432.07954545455,6130.35198051948,-0.181818181818182,0.409090909090909,31532.2954545455
"8","Inferno Negative Binomial",4,18088.2632142857,2988.52922077922,8861.25324675325,6238.48074675325,-0.111363636363636,0.409090909090909,31738.3636363636
"9","MoA Negative Binomial",1,27237.3759369896,1598.29370879041,16050.326059368,9588.75616883117,-0.454545454545455,0.363636363636364,51791.8838316543
"10","MoA Negative Binomial",2,35646.834807953,3787.32235319516,21483.5929742384,10375.9194805195,-0.429545454545455,0.272727272727273,65669.4072920346
"11","MoA Negative Binomial",3,39230.8219577281,3983.21605015305,24985.0643491335,10262.5415584416,-0.454545454545455,0.272727272727273,68246.9627950059
"12","MoA Negative Binomial",4,37053.7316244009,4293.951914211,22143.2277621379,10616.5519480519,-0.336363636363636,0.409090909090909,61603.8940980789
"13","MoA Log-Normal",1,25559.1509790226,1794.82664513801,13578.3598709907,10185.9644628939,-0.429545454545455,0.363636363636364,51791.8838316543
"14","MoA Log-Normal",2,33305.6079783248,4208.84459788767,17947.9136360814,11148.8497443558,-0.377272727272727,0.227272727272727,65669.4072920346
"15","MoA Log-Normal",3,37104.650736843,4527.1747271364,21631.0312767784,10946.4447329283,-0.397727272727273,0.272727272727273,68246.9627950059
"16","MoA Log-Normal",4,35483.86211538,4839.39228463813,19508.1438557727,11136.3259749692,-0.256818181818182,0.5,61603.8940980789
"17","hhh4",1,23528.3441558442,1753.8961038961,9301.33116883117,12473.1168831169,-0.161363636363636,0.772727272727273,33140.5
"18","hhh4",2,38879.5064935065,7229.96753246753,17446.0974025974,14203.4415584416,0.0272727272727273,0.636363636363636,57385.6363636364
"19","hhh4",3,50868.2077922078,11679.9155844156,23378.974025974,15809.3181818182,0.154545454545455,0.545454545454545,75901.0454545455
"20","hhh4",4,54862.2597402597,13665.525974026,23893.7467532468,17302.987012987,0.240909090909091,0.5,85773.7272727273
"21","TSMixer",1,27858.7896428571,234.777597402597,14933.4961688312,12690.5158766234,-0.545454545454545,0.590909090909091,55478.7795454545
"22","TSMixer",2,33362.5352094156,1710.50928571429,19218.4177597403,12433.608163961,-0.504545454545455,0.363636363636364,64633.5772727273
"23","TSMixer",3,37203.3557069805,1693.2461038961,23388.914025974,12121.1955771104,-0.368181818181818,0.454545454545455,64597.0181818182
"24","TSMixer",4,37983.0256761364,2292.90603896104,23989.2329220779,11700.8867150974,-0.345454545454545,0.409090909090909,64756.5818181818
"25","LightGBM",1,20558.0747648174,721.508705958266,13304.0660306088,6532.50002825037,-0.334090909090909,0.409090909090909,34905.2010311339
"26","LightGBM",2,29268.1424166298,1842.17574680398,20538.5023956744,6887.46427415139,-0.325,0.272727272727273,46181.2213793145
"27","LightGBM",3,36162.6320215053,2057.7516677336,26931.5371175452,7173.34323622654,-0.343181818181818,0.363636363636364,49150.7921793553
"28","LightGBM",4,35660.853398074,2471.81906164259,25757.1592232322,7431.87511319919,-0.204545454545455,0.454545454545455,47061.8327891967
"29","MeanEnsemble",1,21070.4880112129,344.611654765091,10160.4987604509,10565.3775959969,-0.429545454545455,0.681818181818182,35976.8994564764
"30","MeanEnsemble",2,29790.8790341296,2608.58136861013,16007.4596666682,11174.8379988513,-0.318181818181818,0.590909090909091,48274.0912420125
"31","MeanEnsemble",3,36412.4482824499,3590.14795503883,21121.0146623594,11701.2856650517,-0.254545454545455,0.636363636363636,54210.3068980011
"32","MeanEnsemble",4,38244.9803593507,4322.00517429569,21777.7255712938,12145.2496137612,-0.109090909090909,0.636363636363636,55846.1353741818
