"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","Inferno_LogNormal","15-34","50",0.704545454545455,0.602288435833285,0.789691400531077,88,0.000157148671030017
"2","Inferno_NegBin","15-34","50",0.681818181818182,0.578652345242093,0.769774175970673,88,0.000846496085616673
"3","LightGBM","15-34","50",0.272727272727273,0.190654798994533,0.373812049489509,88,2.37265907874396e-05
"4","MeanEnsemble","15-34","50",0.625,0.52062246265203,0.718920770681747,88,0.024622831581791
"5","MoA_LogNormal","15-34","50",0.375,0.281079229318253,0.47937753734797,88,0.024622831581791
"6","MoA_NegBin","15-34","50",0.329545454545455,0.240278372152963,0.433071764210069,88,0.0018240286456272
"7","TSMixer","15-34","50",0.511363636363636,0.408655303981513,0.613121353594284,88,0.915186504842878
"8","hhh4","15-34","50",0.534090909090909,0.430634653031972,0.634695319695422,88,0.594288295146941
"9","Inferno_LogNormal","15-34","80",0.886363636363636,0.803314361328142,0.937091996248986,88,0.0449133001722743
"10","Inferno_NegBin","15-34","80",0.886363636363636,0.803314361328142,0.937091996248986,88,0.0449133001722743
"11","LightGBM","15-34","80",0.602272727272727,0.497807300428647,0.698182617753535,88,2.23139599514918e-05
"12","MeanEnsemble","15-34","80",0.829545454545455,0.737631290854466,0.893891778843673,88,0.593867588810525
"13","MoA_LogNormal","15-34","80",0.613636363636364,0.509187570066125,0.708579005691854,88,7.66491879832187e-05
"14","MoA_NegBin","15-34","80",0.556818181818182,0.452817906371824,0.656065381507166,88,2.77833849617363e-07
"15","TSMixer","15-34","80",0.875,0.789882441523253,0.928747258478077,88,0.0834127957187929
"16","hhh4","15-34","80",0.784090909090909,0.687224686344135,0.857191753050812,88,0.689958138349309
"17","Inferno_LogNormal","15-34","95",0.931818181818182,0.859133916051788,0.968379071828533,88,0.455303650746811
"18","Inferno_NegBin","15-34","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"19","LightGBM","15-34","95",0.852272727272727,0.763488895281307,0.911587489568428,88,0.000430959477935628
"20","MeanEnsemble","15-34","95",0.920454545454545,0.844801187426777,0.960935142877746,88,0.212909043624893
"21","MoA_LogNormal","15-34","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"22","MoA_NegBin","15-34","95",0.840909090909091,0.750498750564238,0.902800976709699,88,0.000118141512901213
"23","TSMixer","15-34","95",0.943181818181818,0.873800673429928,0.975488972026191,88,0.628654750977154
"24","hhh4","15-34","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
