"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","Inferno_LogNormal","05-14","50",0.465909090909091,0.365304680304578,0.569365346968028,88,0.594288295146941
"2","Inferno_NegBin","05-14","50",0.477272727272727,0.376066279792277,0.580380405056127,88,0.749329003202281
"3","LightGBM","05-14","50",0.375,0.281079229318253,0.47937753734797,88,0.024622831581791
"4","MeanEnsemble","05-14","50",0.636363636363636,0.532112887035056,0.729207003874518,88,0.0137503857385029
"5","MoA_LogNormal","05-14","50",0.340909090909091,0.250391349266068,0.444735444672761,88,0.00374650934698123
"6","MoA_NegBin","05-14","50",0.329545454545455,0.240278372152963,0.433071764210069,88,0.0018240286456272
"7","TSMixer","05-14","50",0.454545454545455,0.354594037442149,0.558299332254659,88,0.455741279437913
"8","hhh4","05-14","50",0.613636363636364,0.509187570066125,0.708579005691854,88,0.0422106116224041
"9","Inferno_LogNormal","05-14","80",0.715909090909091,0.614204186395073,0.799552307545087,88,0.0607929069470597
"10","Inferno_NegBin","05-14","80",0.715909090909091,0.614204186395073,0.799552307545087,88,0.0607929069470597
"11","LightGBM","05-14","80",0.647727272727273,0.543659867910876,0.739436680574497,88,0.000774725496747096
"12","MeanEnsemble","05-14","80",0.784090909090909,0.687224686344135,0.857191753050812,88,0.689958138349309
"13","MoA_LogNormal","05-14","80",0.704545454545455,0.602288435833285,0.789691400531077,88,0.0321533629164248
"14","MoA_NegBin","05-14","80",0.602272727272727,0.497807300428647,0.698182617753535,88,2.23139599514918e-05
"15","TSMixer","05-14","80",0.795454545454545,0.699680360739483,0.866512736231263,88,0.894203724934364
"16","hhh4","05-14","80",0.795454545454545,0.699680360739483,0.866512736231263,88,0.894203724934364
"17","Inferno_LogNormal","05-14","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"18","Inferno_NegBin","05-14","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"19","LightGBM","05-14","95",0.818181818181818,0.724877409791762,0.884869002330579,88,7.03976235970631e-06
"20","MeanEnsemble","05-14","95",0.863636363636364,0.776612496242885,0.920240546182648,88,0.00144761786429747
"21","MoA_LogNormal","05-14","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
"22","MoA_NegBin","05-14","95",0.840909090909091,0.750498750564238,0.902800976709699,88,0.000118141512901213
"23","TSMixer","05-14","95",0.954545454545455,0.888882552267823,0.982183750764093,88,1
"24","hhh4","05-14","95",0.829545454545455,0.737631290854466,0.893891778843673,88,2.99409588501562e-05
