"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","Inferno_LogNormal","60+","50",0.738636363636364,0.638242200291114,0.819067608800642,88,8.50110761369032e-06
"2","Inferno_NegBin","60+","50",0.704545454545455,0.602288435833285,0.789691400531077,88,0.000157148671030017
"3","LightGBM","60+","50",0.545454545454545,0.441700667745341,0.645405962557851,88,0.455741279437913
"4","MeanEnsemble","60+","50",0.840909090909091,0.750498750564238,0.902800976709699,88,5.08919411270861e-11
"5","MoA_LogNormal","60+","50",0.511363636363636,0.408655303981513,0.613121353594284,88,0.915186504842878
"6","MoA_NegBin","60+","50",0.488636363636364,0.386878646405716,0.591344696018486,88,0.915186504842878
"7","TSMixer","60+","50",0.647727272727273,0.543659867910876,0.739436680574497,88,0.00734340872370811
"8","hhh4","60+","50",0.795454545454545,0.699680360739483,0.866512736231263,88,2.07835450417748e-08
"9","Inferno_LogNormal","60+","80",0.943181818181818,0.873800673429928,0.975488972026191,88,0.000257644241702221
"10","Inferno_NegBin","60+","80",0.943181818181818,0.873800673429928,0.975488972026191,88,0.000257644241702221
"11","LightGBM","60+","80",0.818181818181818,0.724877409791762,0.884869002330579,88,0.78987684257797
"12","MeanEnsemble","60+","80",0.943181818181818,0.873800673429928,0.975488972026191,88,0.000257644241702221
"13","MoA_LogNormal","60+","80",0.806818181818182,0.712229331867611,0.875740422678933,88,1
"14","MoA_NegBin","60+","80",0.784090909090909,0.687224686344135,0.857191753050812,88,0.689958138349309
"15","TSMixer","60+","80",0.886363636363636,0.803314361328142,0.937091996248986,88,0.0449133001722743
"16","hhh4","60+","80",0.920454545454545,0.844801187426777,0.960935142877746,88,0.00308037071164502
"17","Inferno_LogNormal","60+","95",0.988636363636364,0.938405061077014,0.997991214682296,88,0.135094270628736
"18","Inferno_NegBin","60+","95",0.988636363636364,0.938405061077014,0.997991214682296,88,0.135094270628736
"19","LightGBM","60+","95",0.977272727272727,0.920874546447324,0.993745071736188,88,0.32909188478963
"20","MeanEnsemble","60+","95",0.977272727272727,0.920874546447324,0.993745071736188,88,0.32909188478963
"21","MoA_LogNormal","60+","95",0.920454545454545,0.844801187426777,0.960935142877746,88,0.212909043624893
"22","MoA_NegBin","60+","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"23","TSMixer","60+","95",0.977272727272727,0.920874546447324,0.993745071736188,88,0.32909188478963
"24","hhh4","60+","95",0.965909090909091,0.9045039578073,0.988339002800415,88,0.803948160453776
