location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2024-10-31,2024-11-24,4,quantile,0.75,1707800
DE,00+,2024-10-31,2024-11-24,4,quantile,0.9,1960700
DE,00+,2024-10-31,2024-11-24,4,quantile,0.975,2271400
DE,00+,2024-10-31,2024-11-24,4,mean,NA,1483165.52897031
DE,00+,2024-11-07,2024-11-10,1,quantile,0.025,855100
DE,00+,2024-11-07,2024-11-10,1,quantile,0.1,966400
DE,00+,2024-11-07,2024-11-10,1,quantile,0.25,1074400
DE,00+,2024-11-07,2024-11-10,1,quantile,0.5,1203900
DE,00+,2024-11-07,2024-11-10,1,quantile,0.75,1343900
DE,00+,2024-11-07,2024-11-10,1,quantile,0.9,1479100
DE,00+,2024-11-07,2024-11-10,1,quantile,0.975,1641000
DE,00+,2024-11-07,2024-11-10,1,mean,NA,1215445.63399032
DE,00+,2024-11-07,2024-11-17,2,quantile,0.025,804300
DE,00+,2024-11-07,2024-11-17,2,quantile,0.1,932000
DE,00+,2024-11-07,2024-11-17,2,quantile,0.25,1057700
DE,00+,2024-11-07,2024-11-17,2,quantile,0.5,1210600
DE,00+,2024-11-07,2024-11-17,2,quantile,0.75,1378100
DE,00+,2024-11-07,2024-11-17,2,quantile,0.9,1541900
DE,00+,2024-11-07,2024-11-17,2,quantile,0.975,1739900
DE,00+,2024-11-07,2024-11-17,2,mean,NA,1226685.32047965
DE,00+,2024-11-07,2024-11-24,3,quantile,0.025,755200
DE,00+,2024-11-07,2024-11-24,3,quantile,0.1,894900
DE,00+,2024-11-07,2024-11-24,3,quantile,0.25,1034300
DE,00+,2024-11-07,2024-11-24,3,quantile,0.5,1206100
DE,00+,2024-11-07,2024-11-24,3,quantile,0.75,1396500
DE,00+,2024-11-07,2024-11-24,3,quantile,0.9,1584400
DE,00+,2024-11-07,2024-11-24,3,quantile,0.975,1813700
DE,00+,2024-11-07,2024-11-24,3,mean,NA,1226564.94994129
DE,00+,2024-11-07,2024-12-01,4,quantile,0.025,711500
DE,00+,2024-11-07,2024-12-01,4,quantile,0.1,860000
DE,00+,2024-11-07,2024-12-01,4,quantile,0.25,1010100
DE,00+,2024-11-07,2024-12-01,4,quantile,0.5,1197000
DE,00+,2024-11-07,2024-12-01,4,quantile,0.75,1406200
DE,00+,2024-11-07,2024-12-01,4,quantile,0.9,1614500
