"","model","category_type","level","coverage","ci_lower","ci_upper","n_total","binom_p_value"
"1","Inferno_LogNormal","00-04","50",0.636363636363636,0.532112887035056,0.729207003874518,88,0.0137503857385029
"2","Inferno_NegBin","00-04","50",0.625,0.52062246265203,0.718920770681747,88,0.024622831581791
"3","LightGBM","00-04","50",0.352272727272727,0.260563319425503,0.456340132089124,88,0.00734340872370811
"4","MeanEnsemble","00-04","50",0.738636363636364,0.638242200291114,0.819067608800642,88,8.50110761369032e-06
"5","MoA_LogNormal","00-04","50",0.5,0.39774166700839,0.60225833299161,88,1
"6","MoA_NegBin","00-04","50",0.477272727272727,0.376066279792277,0.580380405056127,88,0.749329003202281
"7","TSMixer","00-04","50",0.795454545454545,0.699680360739483,0.866512736231263,88,2.07835450417748e-08
"8","hhh4","00-04","50",0.715909090909091,0.614204186395073,0.799552307545087,88,6.27038277122379e-05
"9","Inferno_LogNormal","00-04","80",0.840909090909091,0.750498750564238,0.902800976709699,88,0.423389529961623
"10","Inferno_NegBin","00-04","80",0.840909090909091,0.750498750564238,0.902800976709699,88,0.423389529961623
"11","LightGBM","00-04","80",0.681818181818182,0.578652345242093,0.769774175970673,88,0.0105510229627817
"12","MeanEnsemble","00-04","80",0.840909090909091,0.750498750564238,0.902800976709699,88,0.423389529961623
"13","MoA_LogNormal","00-04","80",0.829545454545455,0.737631290854466,0.893891778843673,88,0.593867588810525
"14","MoA_NegBin","00-04","80",0.806818181818182,0.712229331867611,0.875740422678933,88,1
"15","TSMixer","00-04","80",0.920454545454545,0.844801187426777,0.960935142877746,88,0.00308037071164502
"16","hhh4","00-04","80",0.795454545454545,0.699680360739483,0.866512736231263,88,0.894203724934364
"17","Inferno_LogNormal","00-04","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"18","Inferno_NegBin","00-04","95",0.909090909090909,0.830746094204892,0.953213578523833,88,0.0843477423039078
"19","LightGBM","00-04","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
"20","MeanEnsemble","00-04","95",0.931818181818182,0.859133916051788,0.968379071828533,88,0.455303650746811
"21","MoA_LogNormal","00-04","95",0.897727272727273,0.816927515764754,0.945255499388173,88,0.0428806593256928
"22","MoA_NegBin","00-04","95",0.920454545454545,0.844801187426777,0.960935142877746,88,0.212909043624893
"23","TSMixer","00-04","95",0.977272727272727,0.920874546447324,0.993745071736188,88,0.32909188478963
"24","hhh4","00-04","95",0.840909090909091,0.750498750564238,0.902800976709699,88,0.000118141512901213
