"","model","horizon","wis","overprediction","underprediction","dispersion","bias","interval_coverage_50","ae_median"
"1","Inferno Log-Normal",1,17032.1874322162,748.268288176811,6321.65735873326,9962.2617853061,-0.206818181818182,0.818181818181818,26544.6578764606
"2","Inferno Log-Normal",2,19174.9515029973,1610.37487958037,5968.99256200344,11595.5840614135,-0.325,0.727272727272727,31404.7703619607
"3","Inferno Log-Normal",3,22531.5851946247,3291.64923323921,6599.90527014976,12640.0306912357,-0.256818181818182,0.681818181818182,39600.0482192503
"4","Inferno Log-Normal",4,22560.1433144644,3146.4941021485,6329.00319079681,13084.646021519,-0.256818181818182,0.590909090909091,39246.699853775
"5","Inferno Negative Binomial",1,17043.641525974,764.399350649351,6347.99837662338,9931.2437987013,-0.206818181818182,0.818181818181818,26731.0454545455
"6","Inferno Negative Binomial",2,19227.3369399351,1603.54350649351,6035.86038961039,11587.9330438312,-0.325,0.727272727272727,31702
"7","Inferno Negative Binomial",3,22644.8980438312,3329.80097402597,6704.61038961039,12610.4866801948,-0.284090909090909,0.590909090909091,40043.0454545455
"8","Inferno Negative Binomial",4,22553.635487013,3022.86753246753,6519.85714285714,13010.9108116883,-0.213636363636364,0.590909090909091,39369.6363636364
"9","MoA Negative Binomial",1,50754.8049770549,2862.12682526292,30329.7034764673,17562.9746753247,-0.554545454545455,0.318181818181818,94278.0848393846
"10","MoA Negative Binomial",2,62938.0500807505,10232.6959428151,33394.1745924808,19311.1795454545,-0.422727272727273,0.318181818181818,112450.91192889
"11","MoA Negative Binomial",3,69621.8921430504,10704.9944940012,38518.6437529453,20398.2538961039,-0.327272727272727,0.272727272727273,124236.558637716
"12","MoA Negative Binomial",4,67186.3548257354,11261.2121029668,33499.9352552361,22425.2074675325,-0.302272727272727,0.409090909090909,118647.667871057
"13","MoA Log-Normal",1,47832.2870748001,3076.79578429866,26113.205508153,18642.2857823484,-0.522727272727273,0.363636363636364,94278.0848393846
"14","MoA Log-Normal",2,60210.1114604258,10945.5694606048,28825.7659113265,20438.7760884946,-0.381818181818182,0.409090909090909,112450.91192889
"15","MoA Log-Normal",3,66890.4837800934,11842.5965318155,34048.8115186554,20999.0757296225,-0.293181818181818,0.272727272727273,124236.558637716
"16","MoA Log-Normal",4,64959.3881941075,12562.0924208493,29663.1523535761,22734.1434196821,-0.272727272727273,0.454545454545455,118647.667871057
"17","hhh4",1,36399.8051948052,4091.54545454545,11545.6948051948,20762.5649350649,-0.0954545454545455,0.590909090909091,60882.4090909091
"18","hhh4",2,55311.8896103896,16805.0584415584,13921.4090909091,24585.4220779221,0.025,0.590909090909091,91839.5454545455
"19","hhh4",3,70006.3831168831,22894.2142857143,19065.0909090909,28047.0779220779,0.211363636363636,0.454545454545455,121614.863636364
"20","hhh4",4,77100.2272727273,23320.974025974,22552.8571428571,31226.3961038961,0.306818181818182,0.5,135859.363636364
"21","TSMixer",1,42950.5125974026,99.3074675324674,17697.6462337662,25153.5588961039,-0.577272727272727,0.636363636363636,83944.5522727273
"22","TSMixer",2,48129.8756517857,5297.36,18188.637987013,24643.8776647727,-0.438636363636364,0.5,99204.9068181818
"23","TSMixer",3,49275.034161526,4128.45178571429,21126.2007142857,24020.381661526,-0.381818181818182,0.5,93689.4409090909
"24","TSMixer",4,58534.237275974,6607.47165584416,28809.5276298701,23117.2379902597,-0.356818181818182,0.409090909090909,108782.125
"25","LightGBM",1,29333.8780570169,2440.95926569011,15954.9241226407,10937.9946686861,-0.236363636363636,0.5,46850.0754631311
"26","LightGBM",2,41936.5437596024,8393.55729216677,20889.3492164492,12653.6372509865,-0.336363636363636,0.181818181818182,79636.2344005777
"27","LightGBM",3,53193.7435606892,10952.9905747045,28254.2195487185,13986.5334372661,-0.320454545454545,0.181818181818182,100285.206502609
"28","LightGBM",4,59997.6316954092,10163.0069183845,35826.9110969721,14007.7136800526,-0.252272727272727,0.227272727272727,100413.23998574
"29","MeanEnsemble",1,31513.3318655919,927.30841681776,11634.6506154891,18951.372833285,-0.447727272727273,0.681818181818182,52462.0451653997
"30","MeanEnsemble",2,41631.7568206786,8067.32950200124,12936.7816541169,20627.6456645604,-0.254545454545455,0.590909090909091,70044.2924089829
"31","MeanEnsemble",3,49061.7898222754,9394.75223660868,17649.0399120433,22017.9976736233,-0.0613636363636364,0.590909090909091,80283.1799265837
"32","MeanEnsemble",4,55251.3357893696,9991.43111654351,22476.1220814233,22783.7825914028,-0.0954545454545454,0.636363636363636,86267.9018128542
